run_id,n_assets,instance,penalty_label,qaoa_seed,feasible_set_size,final_P_F,final_D_cond,initial_P_F,initial_D_cond,point_mass_D_cond
N12_i08_2xAcrit_s43,12,8,2xAcrit,43,66,0.015935422736220062,0.0691478803564858,0.18651953130029142,0.04381706628100383,0.9848484848484849
N12_i08_2xAcrit_s44,12,8,2xAcrit,44,66,0.3800365945789963,0.10507196423517785,0.12373466650024056,0.0702045579366983,0.9848484848484849
N12_i08_2xAcrit_s45,12,8,2xAcrit,45,66,0.08421778498814092,0.4116501903790701,0.14770807967579458,0.1978970520236951,0.9848484848484849
N12_i08_2xAcrit_s46,12,8,2xAcrit,46,66,0.33769882819615304,0.20742924817331845,0.07494383954326622,0.2249681981071219,0.9848484848484849
N12_i08_5xAcrit_s42,12,8,5xAcrit,42,66,0.17900113115319982,0.3176575644215315,0.10493591487465892,0.18228259270402852,0.9848484848484849
N12_i08_5xAcrit_s43,12,8,5xAcrit,43,66,0.015446894700289704,0.031004789880486883,0.21715483348816633,0.012531364415818423,0.9848484848484849
N12_i08_5xAcrit_s44,12,8,5xAcrit,44,66,0.4851095355115831,0.03834772264908647,0.12200738047249615,0.03596564765691686,0.9848484848484849
N12_i08_5xAcrit_s45,12,8,5xAcrit,45,66,0.06252448540180922,0.21290540489486537,0.1022134943632409,0.13302703565920032,0.9848484848484849
N12_i08_5xAcrit_s46,12,8,5xAcrit,46,66,0.117038090742426,0.3950973996366746,0.023939566730405204,0.20750536637783584,0.9848484848484849
N12_i08_Aheur_s42,12,8,Aheur,42,66,0.177867362042889,0.007617392164010815,0.11312711634673178,0.007342681458554116,0.9848484848484849
N12_i08_Aheur_s43,12,8,Aheur,43,66,0.009931228763889521,0.002505906513165488,0.22220882400870323,0.000550748627803143,0.9848484848484849
N12_i08_Aheur_s44,12,8,Aheur,44,66,0.5018525165505707,0.00146762084053151,0.1189691232284531,0.0020130091149122608,0.9848484848484849
N12_i08_Aheur_s45,12,8,Aheur,45,66,0.13619937701150775,0.017390215962889213,0.0689767743460834,0.001815565923345898,0.9848484848484849
N12_i08_Aheur_s46,12,8,Aheur,46,66,0.2866197139956057,0.00014302584143768404,0.011533178490935825,0.008878792606006214,0.9848484848484849
N12_i08_Amargin_s42,12,8,Amargin,42,66,0.2497464952405153,0.4191491569619242,0.17164801353646908,0.39437468903416817,0.9848484848484849
N12_i08_Amargin_s43,12,8,Amargin,43,66,0.01897842156176921,0.05205774530095125,0.19705766066908836,0.03326131480650435,0.9848484848484849
N12_i08_Amargin_s44,12,8,Amargin,44,66,0.3998898642603308,0.08689307735322846,0.123416468501091,0.06113924620870073,0.9848484848484849
N12_i08_Amargin_s45,12,8,Amargin,45,66,0.1440292751067318,0.362429075754456,0.14364588243188336,0.18508542607584272,0.9848484848484849
N12_i08_Amargin_s46,12,8,Amargin,46,66,0.3676449430640787,0.1725845123205736,0.05853432195726782,0.2342890241295916,0.9848484848484849
N12_i09_A0_s42,12,9,A0,42,66,0.07966055585711729,0.3250558822273682,0.17666505087936457,0.6731011401913299,0.9848484848484849
N12_i09_A0_s43,12,9,A0,43,66,0.09787526145737502,0.4357653792648481,0.011279427581030177,0.4130177469746536,0.9848484848484849
N12_i09_A0_s44,12,9,A0,44,66,0.2140197382250335,0.6316469592162801,0.11079930141568184,0.19960640069657254,0.9848484848484849
N12_i09_A0_s45,12,9,A0,45,66,0.2606246847863076,0.5495725038224271,0.09937924629781492,0.6513646075144016,0.9848484848484849
N12_i09_A0_s46,12,9,A0,46,66,0.14839151997216504,0.5271319225383656,0.08577196659462061,0.4713924326101975,0.9848484848484849
N12_i09_Aheur_s42,12,9,Aheur,42,66,0.1703190882690251,0.007383327086599735,0.11262312578037381,0.004742264056347684,0.9848484848484849
N12_i09_Aheur_s43,12,9,Aheur,43,66,0.009931662905728444,0.00136834293241553,0.22199852019548416,0.00027044508319987864,0.9848484848484849
N12_i09_Aheur_s44,12,9,Aheur,44,66,0.5014572516083717,0.0011380126109616978,0.11892701138276607,0.0012997857532719616,0.9848484848484849
N12_i09_Aheur_s45,12,9,Aheur,45,66,0.13869973388500512,0.014778490454545868,0.06880762113723904,0.0011454516447761826,0.9848484848484849
N12_i09_Aheur_s46,12,9,Aheur,46,66,0.2837478630244732,0.00041911233891239047,0.011541509535163641,0.00633958440298578,0.9848484848484849
N12_i09_Amargin_s42,12,9,Amargin,42,66,0.18193971290020272,0.37052857000549894,0.24710560154926497,0.330782525168576,0.9848484848484849
N12_i09_Amargin_s43,12,9,Amargin,43,66,0.01609429311065469,0.0686721749382724,0.16254888707771897,0.11188423082828332,0.9848484848484849
N12_i09_Amargin_s44,12,9,Amargin,44,66,0.38007872202433646,0.14001381631936327,0.12339086446445435,0.0654425777269857,0.9848484848484849
N12_i09_Amargin_s45,12,9,Amargin,45,66,0.10189179434291873,0.47488309869690926,0.14108370908070356,0.28982200079537135,0.9848484848484849
N12_i09_Amargin_s46,12,9,Amargin,46,66,0.367260389495641,0.36169591420424296,0.10300038606510498,0.2866111227896564,0.9848484848484849
N12_i10_1.1xAcrit_s42,12,10,1.1xAcrit,42,66,0.13196584725696425,0.5993981744378885,0.11718033092438418,0.48531095395037405,0.9848484848484849
N12_i10_1.1xAcrit_s43,12,10,1.1xAcrit,43,66,0.1580213403133257,0.5021761968089516,0.0006431372909787569,0.40633965029739294,0.9848484848484849
N12_i10_1.1xAcrit_s44,12,10,1.1xAcrit,44,66,0.24814231086156724,0.6011710609267383,0.11181719519663602,0.22572861016002982,0.9848484848484849
N12_i10_1.1xAcrit_s45,12,10,1.1xAcrit,45,66,0.14239701859060006,0.5222795749534103,0.0642782580155199,0.48890369552491103,0.9848484848484849
N12_i10_1.1xAcrit_s46,12,10,1.1xAcrit,46,66,0.2689453188636435,0.5758003130475378,0.01662267706660714,0.5644966552446578,0.9848484848484849
N12_i10_10xAcrit_s42,12,10,10xAcrit,42,66,0.3707015130203217,0.09547759875077128,0.20945447279518703,0.5370332427107276,0.9848484848484849
N12_i10_10xAcrit_s43,12,10,10xAcrit,43,66,0.31563339915555844,0.5464049904246909,0.10212420078460127,0.12007506436137134,0.9848484848484849
N12_i10_10xAcrit_s44,12,10,10xAcrit,44,66,0.40651025995612144,0.16088324567950243,0.12282154790591449,0.09489592136477477,0.9848484848484849
N12_i10_10xAcrit_s45,12,10,10xAcrit,45,66,0.09955933182618537,0.29223164991610046,0.13020530622452497,0.2598218891307766,0.9848484848484849
N12_i10_10xAcrit_s46,12,10,10xAcrit,46,66,0.3379233679661411,0.5293732585796728,0.12544688483467326,0.20991299087328066,0.9848484848484849
N12_i10_2xAcrit_s42,12,10,2xAcrit,42,66,0.0814551654314073,0.6538687685122335,0.1461009269060014,0.4868325981182152,0.9848484848484849
N12_i10_2xAcrit_s43,12,10,2xAcrit,43,66,0.17446123126501334,0.40173807884867696,0.0024501160910403996,0.4580443144498515,0.9848484848484849
N12_i10_2xAcrit_s44,12,10,2xAcrit,44,66,0.2768135280985007,0.48596070306402045,0.11557326512411237,0.199029724555649,0.9848484848484849
N12_i10_2xAcrit_s45,12,10,2xAcrit,45,66,0.09888336471340153,0.3631906751909176,0.0832784981706709,0.4593174828168578,0.9848484848484849
N12_i10_2xAcrit_s46,12,10,2xAcrit,46,66,0.2184673283343841,0.5560908887079647,0.03759534282289678,0.49278392251411607,0.9848484848484849
N12_i10_5xAcrit_s42,12,10,5xAcrit,42,66,0.2333377612521872,0.21937586472849743,0.18005323592774403,0.4994054930956099,0.9848484848484849
N12_i10_5xAcrit_s43,12,10,5xAcrit,43,66,0.12618378739898617,0.42688370397783965,0.031956653227098286,0.25176209028906826,0.9848484848484849
