n_assets,penalty_label,shots,runs,Q_tau_final_median,Q_opt_final_median,Q_tau_initial_median,Q_opt_initial_median,Q_tau_uniform_all_median,Q_tau_uniform_F_median,Q_opt_uniform_all_median,Q_opt_uniform_F_median,final_beats_uniform_F_rate,final_beats_uniform_F_runs_opt,final_beats_uniform_F_runs_alt
20,1.1xAcrit,1000,150,0.22414091432926803,0.14139389233858862,0.08371140337230631,0.04715783465847845,0.001905532614865598,0.338259584560454,0.0009532201678953594,0.1865083786494737,0.41333333333333333,56,62
20,1.1xAcrit,10000,150,0.9209141238067484,0.782211371055451,0.5828196890040376,0.38310321723344104,0.01889275622277957,0.9838981195612596,0.009491417149575684,0.8730797723776871,0.41333333333333333,56,62
20,2xAcrit,10,150,0.001409760024951967,0.0009191544637657811,0.0006133877514439834,0.0003092101567626626,1.9073322619911345e-05,0.0041203073609808625,9.536702236905002e-06,0.002062067530338662,0.24666666666666667,36,38
20,2xAcrit,100,150,0.01400827884209943,0.00915361935418818,0.006116973791183644,0.0030878024811134552,0.00019071685640812213,0.0404474454306457,9.536292978210036e-05,0.020430378183014807,0.24666666666666667,36,38
20,2xAcrit,1000,150,0.1315546478344337,0.08785625075218817,0.0595130938992498,0.03045247139651136,0.001905532614865598,0.338259584560454,0.0009532201678953594,0.1865083786494737,0.24666666666666667,36,38
20,2xAcrit,10000,150,0.7554288911623781,0.6013110805320446,0.4585863374886695,0.26600745289672495,0.01889275622277957,0.9838981195612596,0.009491417149575684,0.8730797723776871,0.24666666666666667,36,38
20,5xAcrit,10,150,0.000892544354649305,0.0007296925170364732,0.00020739071828901334,0.00011960752150164122,1.9073322619911345e-05,0.0041203073609808625,9.536702236905002e-06,0.002062067530338662,0.03333333333333333,6,3
20,5xAcrit,100,150,0.008889680022108992,0.00727300559010996,0.002071972761528873,0.0011954316069544557,0.00019071685640812213,0.0404474454306457,9.536292978210036e-05,0.020430378183014807,0.03333333333333333,6,3
20,5xAcrit,1000,150,0.08542360530461773,0.07039474504353538,0.020527602926956323,0.011890208619017406,0.001905532614865598,0.338259584560454,0.0009532201678953594,0.1865083786494737,0.03333333333333333,6,3
20,5xAcrit,10000,150,0.5905504384633158,0.5180397132839405,0.18731542548683322,0.11273729929797077,0.01889275622277957,0.9838981195612596,0.009491417149575684,0.8730797723776871,0.03333333333333333,6,3
20,10xAcrit,10,150,0.0008706125719246116,0.0006285253106702027,0.00019077081642399074,0.00011385870502039763,1.9073322619911345e-05,0.0041203073609808625,9.536702236905002e-06,0.002062067530338662,0.006666666666666667,1,0
