n_assets,n_select,feasible_set_size,solution,rank,rank_ties,solution_index,f,f_star,delta_F,penalty_label,penalty,threshold,threshold_kind,threshold_binding_m,a_margin,a_margin_target,a_heur,E_A,E_A_star,abs_E_star,g_off,g_F,deflation_D,c_max_all_states,c_max_cardinality,c_max_proven,r_all,r_all_of_worst_feasible
28,5,98280,rank_10,10,1,134250566,-0.12404239779148485,-0.16760980693372507,3.0234638504618934,2xAcrit,0.3313507012243064,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-8.407809928399145,-8.451377337541386,8.451377337541386,0.005155066139185609,0.014409766842618094,2.7952632330134435,208.4113557145608,28,False,0.9997991014475882,0.9860581677270687
28,5,98280,rank_50,50,1,152174594,-0.04028262754479295,-0.16760980693372507,3.0234638504618934,2xAcrit,0.3313507012243064,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-8.324050158152453,-8.451377337541386,8.451377337541386,0.01506584954186571,0.042113015298489646,2.7952632330134435,208.4113557145608,28,False,0.9994128674042011,0.9860581677270687
28,5,98280,rank_100,100,1,135299078,0.00011618145737801733,-0.16760980693372507,3.0234638504618934,2xAcrit,0.3313507012243064,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-8.283651349150283,-8.451377337541386,8.451377337541386,0.019845994527549603,0.05547477882544541,2.7952632330134435,208.4113557145608,28,False,0.9992265799382377,0.9860581677270687
28,5,98280,rank_1000,1000,1,168820804,0.186667295730506,-0.16760980693372507,3.0234638504618934,2xAcrit,0.3313507012243064,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-8.097100234877153,-8.451377337541386,8.451377337541386,0.04191945153016855,0.11717590161036928,2.7952632330134435,208.4113557145608,28,False,0.9983663532333188,0.9860581677270687
28,5,98280,median,49141,1,4587778,0.9402299192815979,-0.16760980693372507,3.0234638504618934,2xAcrit,0.3313507012243064,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-7.343537611326062,-8.451377337541386,8.451377337541386,0.1310839265564739,0.366414080342346,2.7952632330134435,208.4113557145608,28,False,0.9948915163494267,0.9860581677270687
28,5,98280,worst_feasible,98280,1,33591553,2.8558540435281685,-0.16760980693372507,3.0234638504618934,2xAcrit,0.3313507012243064,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-5.427913487079492,-8.451377337541386,8.451377337541386,0.357748060429338,1.0,2.7952632330134435,208.4113557145608,28,False,0.9860581677270687,0.9860581677270687
28,5,98280,published_qaoa,111,1,218136578,0.005815856190140245,-0.16760980693372507,3.0234638504618934,2xAcrit,0.3313507012243064,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-8.277951674417519,-8.451377337541386,8.451377337541386,0.020520402319927307,0.057359926131536565,2.7952632330134435,208.4113557145608,28,False,0.9992002975306864,0.9860581677270687
28,5,98280,optimum,1,1,151027778,-0.16760980693372507,-0.16760980693372507,3.0234638504618934,5xAcrit,0.828376753060766,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-20.877028633452877,-20.877028633452877,20.877028633452877,0.0,0.0,6.905003554206048,458.91248584013647,28,False,1.0,0.9936983536337197
28,5,98280,rank_2,2,1,150995014,-0.15414552092554457,-0.16760980693372507,3.0234638504618934,5xAcrit,0.828376753060766,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-20.863564347444697,-20.877028633452877,20.877028633452877,0.0006449330622943936,0.0044532650873677785,6.905003554206048,458.91248584013647,28,False,0.9999719370982442,0.9936983536337197
28,5,98280,rank_5,5,1,151027842,-0.13490500173717712,-0.16760980693372507,3.0234638504618934,5xAcrit,0.828376753060766,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-20.84432382825633,-20.877028633452877,20.877028633452877,0.0015665450180080947,0.010816998917169671,6.905003554206048,458.91248584013647,28,False,0.9999318350980796,0.9936983536337197
28,5,98280,rank_10,10,1,134250566,-0.12404239779148485,-0.16760980693372507,3.0234638504618934,5xAcrit,0.828376753060766,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-20.833461224310636,-20.877028633452877,20.877028633452877,0.002086858714770779,0.014409766842618094,6.905003554206048,458.91248584013647,28,False,0.9999091947451372,0.9936983536337197
28,5,98280,rank_50,50,1,152174594,-0.04028262754479295,-0.16760980693372507,3.0234638504618934,5xAcrit,0.828376753060766,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-20.749701454063946,-20.877028633452877,20.877028633452877,0.00609891290683512,0.042113015298489646,6.905003554206048,458.91248584013647,28,False,0.9997346186701711,0.9936983536337197
28,5,98280,rank_100,100,1,135299078,0.00011618145737801733,-0.16760980693372507,3.0234638504618934,5xAcrit,0.828376753060766,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-20.709302645061772,-20.877028633452877,20.877028633452877,0.008033997142789887,0.05547477882544541,6.905003554206048,458.91248584013647,28,False,0.9996504175615945,0.9936983536337197
28,5,98280,rank_1000,1000,1,168820804,0.186667295730506,-0.16760980693372507,3.0234638504618934,5xAcrit,0.828376753060766,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-20.522751530788646,-20.877028633452877,20.877028633452877,0.01696970909435577,0.11717590161036928,6.905003554206048,458.91248584013647,28,False,0.9992615989054013,0.9936983536337197
