n_assets,treatment,control,penalty_label,field,pairs,pairs_dropped,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_worse,instances_tied,instance_median_abs_diff,instance_iqr_diff,instance_p95_abs_diff,instance_max_abs_diff,direction
16,adam_0.03,adam_0.1,Aheur,final_P_F,50,0,10,3.2829386213961698e-06,-6.726684318891785e-06,0.00022137227500707013,6,4,0,7.36932759082265e-06,1.5050145051986874e-05,0.0005849032590049315,0.0007057552284095436,better
16,adam_0.03,adam_0.1,Aheur,final_P_tau_main,50,0,10,1.972816221496032e-08,-5.578840500675142e-09,3.086290689680027e-08,7,3,0,1.972816221496032e-08,3.1304381309382734e-08,4.2585784854054505e-08,4.3531997562240576e-08,better
16,adam_0.03,adam_0.1,Aheur,final_Q_tau_main_1000,50,0,10,1.9688865490530283e-05,-5.5733033991201e-06,3.0803218982633496e-05,7,3,0,1.9688865490530283e-05,3.12518150951957e-05,3.927052333776436e-05,4.3492966188329873e-05,better
16,adam_0.03,adam_0.1,Aheur,final_P_opt,50,0,10,1.310183961322764e-08,-5.578840500675142e-09,3.065983378292003e-08,7,3,0,1.5725731827842537e-08,2.6553223619885102e-08,4.2585784854054505e-08,4.3531997562240576e-08,better
16,adam_0.03,adam_0.1,Aheur,g_F,43,7,10,-0.005827823683019727,-0.026041336810694767,0.004232575000458428,5,2,3,0.013534150964865946,0.018299188047811565,0.038489466225602814,0.03997810481752568,better
16,adam_0.03,adam_0.1,Aheur,rank_best_feasible,43,7,10,-0.5,-2.0,0.0,5,2,3,1.0,1.0,3.0,3.0,better
16,adam_0.03,adam_0.1,Aheur,objective_evaluations,50,0,10,50.0,50.0,50.0,0,10,0,50.0,0.0,50.0,50.0,worse
16,adam_0.03,adam_0.1,Aheur,gradient_evaluations,50,0,10,50.0,50.0,50.0,0,10,0,50.0,0.0,50.0,50.0,worse
16,adam_0.03,adam_0.1,Aheur,optimisation_seconds,50,0,10,17.707054055761546,16.599006691481918,18.269668883644044,0,10,0,17.707054055761546,1.1128137095365673,18.319583403272553,18.354806933552027,worse
16,adam_0.03,adam_0.1,Amargin,best_expectation,50,0,10,-0.0009554028511047363,-0.0011731386184692383,0.055187225341796875,7,3,0,0.001194298267364502,0.04234418272972107,0.2141622304916379,0.32903051376342773,better
16,adam_0.03,adam_0.1,Amargin,best_expectation_by_50,50,0,10,0.5719027519226074,0.5573019981384277,0.5903306007385254,0,10,0,0.5719027519226074,0.027201294898986816,0.7814243152737614,0.9353770911693573,worse
16,adam_0.03,adam_0.1,Amargin,expectation_at_final_angles,50,0,10,-0.002648770809173584,-0.003240823745727539,0.033359527587890625,7,3,0,0.003296077251434326,0.027680009603500366,0.2072828769683835,0.32984352111816406,better
16,adam_0.03,adam_0.1,Amargin,final_P_F,50,0,10,0.031273819350872145,0.014935132748064461,0.0416368663254616,9,1,0,0.03383708770456906,0.024861413223405293,0.04301442995704576,0.04333514211575107,better
16,adam_0.03,adam_0.1,Amargin,final_P_tau_main,50,0,10,-6.139057836662687e-05,-0.00010351586388424039,-1.8647238903213292e-05,1,9,0,6.139057836662687e-05,7.941940475575393e-05,0.0001544417620607418,0.00019566452829167247,worse
16,adam_0.03,adam_0.1,Amargin,final_Q_tau_main_1000,50,0,10,-0.02806633220166621,-0.07099235326905229,-0.012788156016536656,1,9,0,0.02806633220166621,0.046434342960054276,0.08339316384772842,0.0928066199328168,worse
