sweep,n_assets,n_select,qaoa_seed,p_layers,energy_quantum,energy_classical,gap_pct,runtime_s,feasible,sharpe_ratio,classical_method,backend,precision,steps,shots,data_start,data_end
grid,12,2,43,1,-52.15076860299848,-52.25261168074922,0.19490523913517033,44.45506528299302,True,1.337964475552203,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,44,1,-52.25261168074922,-52.25261168074922,0.0,44.5446370113641,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,45,1,-51.922402697552265,-52.25261168074922,0.6319473277516743,44.5577835040167,True,0.9467353641018368,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,46,1,-52.25261168074922,-52.25261168074922,0.0,44.52707857079804,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,42,2,-52.25261168074922,-52.25261168074922,0.0,79.9756546355784,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,43,2,-52.25261168074922,-52.25261168074922,0.0,80.29474961850792,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,44,2,-52.25261168074922,-52.25261168074922,0.0,79.77468521054834,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,45,2,-52.19909386988678,-52.25261168074922,0.10242131281287668,79.89434437826276,True,1.1763543666609393,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,46,2,-52.25261168074922,-52.25261168074922,0.0,79.95094556640834,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,42,3,-52.25261168074922,-52.25261168074922,0.0,115.21514127962291,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,43,3,-52.25261168074922,-52.25261168074922,0.0,122.858678098768,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,44,3,-52.25261168074922,-52.25261168074922,0.0,123.12703586462885,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,45,3,-52.25261168074922,-52.25261168074922,0.0,123.23507728241384,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,46,3,-52.25261168074922,-52.25261168074922,0.0,123.06853747088462,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,42,4,-52.25261168074922,-52.25261168074922,0.0,152.2671750076115,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,43,4,-52.25261168074922,-52.25261168074922,0.0,157.847274011001,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,44,4,-52.25261168074922,-52.25261168074922,0.0,158.16824432462454,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,45,4,-52.25261168074922,-52.25261168074922,0.0,157.77413776889443,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,12,2,46,4,-52.25261168074922,-52.25261168074922,0.0,157.4224623516202,True,1.3218756853432454,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,42,1,-335.2610753366906,-336.15232144200877,0.2651316229187187,16.95935404021293,True,0.5859832765106143,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,43,1,-335.78689672375606,-336.15232144200877,0.1087080751622156,16.97941034194082,True,1.0978404251156708,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,44,1,-336.03707040271075,-336.15232144200877,0.034285361708530894,16.875291305594146,True,1.355500396197065,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,45,1,-335.5689897035456,-336.15232144200877,0.1735319678771935,16.8815525630489,True,1.222448905623595,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,46,1,-335.9747295240489,-336.15232144200877,0.05283078730441684,16.997467391192913,True,1.5323130382754206,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,42,2,-335.9747295240489,-336.15232144200877,0.05283078730441684,29.3345339121297,True,1.5323130382754206,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,43,2,-335.82332290065153,-336.15232144200877,0.09787186354861864,29.69476778898388,True,1.0252409721525555,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,44,2,-336.1222593946752,-336.15232144200877,0.008942983705898515,29.591536233201623,True,1.4638129909258697,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,45,2,-336.1358449771381,-336.15232144200877,0.004901487754118071,29.390412162989378,True,1.4638807071588888,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,46,2,-336.07853556721267,-336.15232144200877,0.021950130964313593,29.464698151685297,True,1.1836913736499022,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,42,3,-336.1222593946752,-336.15232144200877,0.008942983705898515,41.93276455439627,True,1.4638129909258697,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,43,3,-336.05223367511553,-336.15232144200877,0.02977452794729712,41.903085933066905,True,1.3679414394732625,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,44,3,-336.15232144200877,-336.15232144200877,0.0,42.071920783258975,True,1.4732051545372367,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,45,3,-336.15232144200877,-336.15232144200877,0.0,41.85635921359062,True,1.4732051545372367,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
